no_pipeline,run_time
1,0.005000
2,0.008000
3,0.013000
4,0.016000
5,0.024000
6,0.026000
7,0.030000
8,0.034000
9,0.043000
10,0.052000
11,0.052000
12,0.058000
13,0.066000
14,0.074000
15,0.085000
16,0.086000
17,0.097000
18,0.106000
19,0.118000
20,0.119000
21,0.116000
22,0.133000
23,0.131000
24,0.137000
25,0.149000
26,0.170000
27,0.166000
28,0.181000
29,0.191000
30,0.238000
31,0.212000
32,0.215000
