no_pipeline,run_time
1,0.015000
2,0.026000
3,0.029000
4,0.043000
5,0.057000
6,0.096000
7,0.113000
8,0.134000
9,0.117000
10,0.115000
11,0.133000
12,0.134000
13,0.132000
14,0.142000
15,0.206000
16,0.147000
17,0.151000
18,0.145000
19,0.173000
20,0.161000
21,0.181000
22,0.206000
23,0.195000
24,0.305000
25,0.279000
26,0.275000
27,0.333000
28,0.252000
29,0.258000
30,0.396000
31,0.330000
32,0.287000
