read_start, read_end, cpu_start, cpu_end, write_start, write_end
533.157327, 564.320789, 564.320789, 568.720789, 568.720789, 708.332541
533.157328, 568.050052, 568.050052, 572.450052, 572.450052, 715.688751
533.159637, 568.855838, 568.855838, 573.255838, 573.255838, 715.699148
533.159637, 571.164813, 571.164813, 575.564813, 575.564813, 715.740711
533.405826, 571.164813, 571.164813, 575.564813, 575.564813, 715.740711
533.447385, 571.452248, 571.452248, 575.852248, 575.852248, 718.980234
535.855791, 571.452248, 571.452248, 575.852248, 575.852248, 718.980234
535.855791, 571.452248, 571.452248, 575.852248, 575.852248, 718.980234
536.693439, 571.452248, 571.452248, 575.852248, 575.852248, 718.980234
536.997145, 571.452249, 571.452249, 575.852249, 575.852249, 718.980234
538.475256, 571.452249, 571.452249, 575.852249, 575.852249, 718.980234
538.475256, 571.524034, 571.524034, 575.924034, 575.924034, 718.980266
538.475256, 571.524034, 571.524034, 575.924034, 575.924034, 718.980266
538.475256, 571.524188, 571.524188, 575.924188, 575.924188, 718.980460
538.475261, 571.524188, 571.524188, 575.924188, 575.924188, 718.980460
538.475261, 571.616308, 571.616308, 576.016308, 576.016308, 718.980464
539.626726, 571.629940, 571.629940, 576.029940, 576.029940, 718.980464
