no_pipeline,run_time
1,0.006000
2,0.007000
3,0.010000
4,0.016000
5,0.020000
6,0.026000
7,0.033000
8,0.030000
9,0.041000
10,0.049000
11,0.063000
12,0.117000
13,0.085000
14,0.098000
15,0.089000
16,0.106000
17,0.111000
18,0.122000
19,0.144000
20,0.144000
21,0.169000
22,0.292000
23,0.151000
24,0.196000
25,0.222000
26,0.202000
27,0.209000
28,0.215000
29,0.231000
30,0.244000
31,0.232000
32,0.278000
