no_pipeline,makespan,readtime,writetime
1,52.075000047683716,9.138000011444092,29.884999990463257
2,170.04699993133545,31.09599995613098,110.41100001335144
3,369.64800000190735,65.18099999427795,262.1230003833771
4,660.9669997692108,119.95399951934814,481.5700008869171
5,1065.2039997577667,185.3709990978241,806.3230004310608
6,1359.430999994278,247.05800032615662,1023.6879994869232
7,1978.7830002307892,343.4009997844696,1531.7790007591248
8,2551.760999441147,519.2670004367828,1913.208999156952
9,3255.4190003871918,700.4120006561279,2420.8010008335114
10,4466.915999889374,988.2849998474121,3324.051000595093
11,5409.6080005168915,1081.867000579834,4160.4160006046295
12,6874.74399971962,1692.8839988708496,4998.754999160767
13,7060.950000524521,1776.3639998435974,5084.60400056839
14,8451.083000421524,1970.5440001487732,6270.626000404358
15,9065.493000030518,2466.7240006923676,6359.092999458313
16,10814.036000490189,2770.294000864029,7796.972999572754
17,12336.794000387192,2614.4100003242493,9445.963000059128
18,13096.365999937057,3072.8560016155243,9726.729999542236
19,13675.44300031662,3297.944000720978,10064.949000120163
20,15619.733999967575,3383.543001651764,11905.81400179863
21,17554.475999832153,4653.870999574661,12552.561000108719
22,19420.922999858856,4044.102001428604,14982.355999231339
23,19446.82200026512,4385.1069984436035,14645.957001209259
24,19605.161999940872,4700.5090000629425,14516.545001029968
25,24543.34499979019,5456.760998725891,18661.626998901367
26,24210.804000139236,5007.4739990234375,18743.668000221252
27,26829.707000494003,8798.08399939537,17578.853999853134
28,25323.186999320984,6697.906000137329,18146.48100066185
29,28475.56199979782,6727.944001674652,21229.195999622345
30,31114.847999334335,6743.636001110077,23838.44200015068
31,31545.44599890709,7601.358001708984,23420.60400032997
32,32903.391000032425,8194.338999509811,24150.58699941635
