type,start,end
read,0,107.52688172043152
write,182.5268817204315,200.6100643605717
read,200.6100643605717,207.8986940981875
write,282.8986940981875,305.63294909053053
read,305.63294909053053,312.9215788281463
write,387.9215788281463,433.0167585905587
