################################################################################
# Collectl:   V4.3.1-1  HiRes: 1  Options: -sCDnfM -omT --dskopts z --netopts o --nfsopts z -i 1 --sep , -P -f export_nfs_single/collectl --procfilt P p 
# Host:       comp08  DaemonOpts: 
# Booted:     1603905388.7 [20201028-13:16:28]
# Distro:     CentOS Linux release 8.2.2004 (Core)   Platform: 
# Date:       20201105-194518  Secs: 1604623518 TZ: -0500
# SubSys:     CDnfM Options: mT Interval: 1 NumCPUs: 64 [HYPER] NumBud: 0 Flags: i
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 1000.116 Cores: 16  Siblings: 32 Nodes: 2
# Kernel:     4.18.0-193.19.1.el8_2.x86_64  Memory: 262284208 kB  Swap: 4194300 kB
# NumDisks:   9 DiskNames: sda sdb sdc sdd sde sdf dm-0 dm-1 dm-2
# NumNets:    3 NetNames: ens4f0:25000 ens4f1:?? lo:??
# SCSI:       DA:2:00:00:00 DA:3:00:00:00 DA:4:00:00:00 DA:5:00:00:00 DA:6:00:00:00 DA:7:00:00:00
################################################################################
#Date,Time,[NET]RxPktTot,[NET]TxPktTot,[NET]RxKBTot,[NET]TxKBTot,[NET]RxCmpTot,[NET]RxMltTot,[NET]TxCmpTot,[NET]RxErrsTot,[NET]TxErrsTot,[NFS]ReadsS,[NFS]WritesS,[NFS]MetaS,[NFS]CommitS,[NFS]Udp,[NFS]Tcp,[NFS]TcpConn,[NFS]BadAuth,[NFS]BadClient,[NFS]ReadsC,[NFS]WritesC,[NFS]MetaC,[NFS]CommitC,[NFS]Retrans,[NFS]AuthRef
20201105,19:45:20.001,941517,3429,1394488,487,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1303,0,7,0,0,1316
20201105,19:45:21.001,1270318,5298,1881726,698,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1747,0,0,0,0,1747
20201105,19:45:22.001,1254322,4774,1857931,657,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1737,0,0,0,0,1737
20201105,19:45:23.001,1251018,4783,1853025,658,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1727,0,0,0,0,1727
20201105,19:45:24.001,1251082,4811,1853117,659,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1725,0,0,0,0,1725
20201105,19:45:25.001,1254521,4764,1858265,656,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1725,0,0,0,0,1725
20201105,19:45:26.001,1249483,4613,1850691,647,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1725,0,0,0,0,1725
20201105,19:45:27.001,1241500,4279,1838848,619,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1719,0,0,0,0,1719
20201105,19:45:28.001,1244418,4405,1843141,630,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1715,0,0,0,0,1715
20201105,19:45:29.001,1241932,4640,1839506,645,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1711,0,0,0,0,1711
20201105,19:45:30.001,1275515,4789,1889262,666,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1761,0,0,0,0,1761
20201105,19:45:31.001,349969,1389,518396,186,0,1,0,0,0,0,0,0,0,0,0,0,0,0,483,0,0,0,0,484
20201105,19:45:32.001,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:45:33.001,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:45:34.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:45:35.001,9,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:45:36.001,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:45:37.001,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:45:38.001,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:45:39.001,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:45:40.001,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:45:41.001,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:45:42.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:45:43.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:45:44.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:45:45.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:45:46.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:45:47.001,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:45:48.001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:45:49.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:45:50.001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:45:51.001,5,8,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2
20201105,19:45:52.001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:45:53.001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:45:54.001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:45:55.001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:45:56.001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:45:57.001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:45:58.001,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:45:59.001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:46:00.001,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
20201105,19:46:01.001,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:46:02.001,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:46:03.001,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:46:04.001,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:46:05.001,8,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:46:06.001,5,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:46:07.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:46:08.001,22613,1530182,1917,2268356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2110,0,0,0,2115
20201105,19:46:09.001,23044,1514817,1943,2245598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2085,0,0,0,2092
20201105,19:46:10.001,22865,1522267,1932,2256649,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2099,0,0,0,2100
