type,start,end
read,0,107.52688172043152
write,182.5268817204315,192.9175716622322
read,192.9175716622322,203.3082616040329
write,278.3082616040329,293.8471697101018
read,293.8471697101018,304.2378596519025
write,379.2378596519025,418.9636795108541
