time, total_mem, dirty, cache, used_mem
0.000000, 268000.000000, 0.000000, 0.000000, 0.000000
161.290323, 268000.000000, 0.000000, 75000.000000, 150000.000000
271.290323, 268000.000000, 0.000000, 75000.000000, 150000.000000
271.322581, 268000.000000, 100.000000, 75100.000000, 150100.000000
271.354839, 268000.000000, 200.000000, 75200.000000, 150200.000000
271.387097, 268000.000000, 300.000000, 75300.000000, 150300.000000
271.419355, 268000.000000, 400.000000, 75400.000000, 150400.000000
271.451613, 268000.000000, 500.000000, 75500.000000, 150500.000000
271.483871, 268000.000000, 600.000000, 75600.000000, 150600.000000
271.516129, 268000.000000, 700.000000, 75700.000000, 150700.000000
271.548387, 268000.000000, 800.000000, 75800.000000, 150800.000000
271.580645, 268000.000000, 900.000000, 75900.000000, 150900.000000
271.612903, 268000.000000, 1000.000000, 76000.000000, 151000.000000
271.645161, 268000.000000, 1100.000000, 76100.000000, 151100.000000
271.677419, 268000.000000, 1200.000000, 76200.000000, 151200.000000
271.709677, 268000.000000, 1300.000000, 76300.000000, 151300.000000
271.741935, 268000.000000, 1400.000000, 76400.000000, 151400.000000
271.774194, 268000.000000, 1500.000000, 76500.000000, 151500.000000
271.806452, 268000.000000, 1600.000000, 76600.000000, 151600.000000
271.838710, 268000.000000, 1700.000000, 76700.000000, 151700.000000
271.870968, 268000.000000, 1800.000000, 76800.000000, 151800.000000
271.903226, 268000.000000, 1900.000000, 76900.000000, 151900.000000
271.935484, 268000.000000, 2000.000000, 77000.000000, 152000.000000
271.967742, 268000.000000, 2100.000000, 77100.000000, 152100.000000
272.000000, 268000.000000, 2200.000000, 77200.000000, 152200.000000
272.032258, 268000.000000, 2300.000000, 77300.000000, 152300.000000
272.064516, 268000.000000, 2400.000000, 77400.000000, 152400.000000
272.096774, 268000.000000, 2500.000000, 77500.000000, 152500.000000
272.129032, 268000.000000, 2600.000000, 77600.000000, 152600.000000
272.161290, 268000.000000, 2700.000000, 77700.000000, 152700.000000
272.193548, 268000.000000, 2800.000000, 77800.000000, 152800.000000
272.225806, 268000.000000, 2900.000000, 77900.000000, 152900.000000
272.258065, 268000.000000, 3000.000000, 78000.000000, 153000.000000
272.290323, 268000.000000, 3100.000000, 78100.000000, 153100.000000
272.322581, 268000.000000, 3200.000000, 78200.000000, 153200.000000
272.354839, 268000.000000, 3300.000000, 78300.000000, 153300.000000
272.387097, 268000.000000, 3400.000000, 78400.000000, 153400.000000
272.419355, 268000.000000, 3500.000000, 78500.000000, 153500.000000
272.451613, 268000.000000, 3600.000000, 78600.000000, 153600.000000
272.483871, 268000.000000, 3700.000000, 78700.000000, 153700.000000
272.516129, 268000.000000, 3800.000000, 78800.000000, 153800.000000
272.548387, 268000.000000, 3900.000000, 78900.000000, 153900.000000
272.580645, 268000.000000, 4000.000000, 79000.000000, 154000.000000
272.612903, 268000.000000, 4100.000000, 79100.000000, 154100.000000
272.645161, 268000.000000, 4200.000000, 79200.000000, 154200.000000
272.677419, 268000.000000, 4300.000000, 79300.000000, 154300.000000
272.709677, 268000.000000, 4400.000000, 79400.000000, 154400.000000
272.741935, 268000.000000, 4500.000000, 79500.000000, 154500.000000
272.774194, 268000.000000, 4600.000000, 79600.000000, 154600.000000
272.806452, 268000.000000, 4700.000000, 79700.000000, 154700.000000
