time, total_mem, dirty, cache, used_mem
0.000000, 268000.000000, 0.000000, 0.000000, 0.000000
0.000000, 268000.000000, 0.000000, 0.000000, 0.000000
0.000000, 268000.000000, 0.000000, 0.000000, 0.000000
5.000000, 268000.000000, 0.000000, 2400.000000, 4700.000000
5.000000, 268000.000000, 0.000000, 2400.000000, 4700.000000
10.000000, 268000.000000, 0.000000, 4700.000000, 9300.000000
10.000000, 268000.000000, 0.000000, 4700.000000, 9300.000000
15.000000, 268000.000000, 0.000000, 7000.000000, 13900.000000
15.000000, 268000.000000, 0.000000, 7000.000000, 13900.000000
20.000000, 268000.000000, 0.000000, 9300.000000, 18500.000000
20.000000, 268000.000000, 0.000000, 9300.000000, 18500.000000
25.000000, 268000.000000, 0.000000, 11700.000000, 23300.000000
25.000000, 268000.000000, 0.000000, 11700.000000, 23300.000000
30.000000, 268000.000000, 0.000000, 14000.000000, 27900.000000
30.000000, 268000.000000, 0.000000, 14000.000000, 27900.000000
35.000000, 268000.000000, 0.000000, 16300.000000, 32500.000000
35.000000, 268000.000000, 0.000000, 16300.000000, 32500.000000
40.000000, 268000.000000, 0.000000, 18600.000000, 37100.000000
40.000000, 268000.000000, 0.000000, 18600.000000, 37100.000000
43.010753, 268000.000000, 0.000000, 20000.000000, 40000.000000
45.000000, 268000.000000, 0.000000, 20000.000000, 40000.000000
45.000000, 268000.000000, 0.000000, 20000.000000, 40000.000000
50.000000, 268000.000000, 0.000000, 20000.000000, 40000.000000
50.000000, 268000.000000, 0.000000, 20000.000000, 40000.000000
55.000000, 268000.000000, 0.000000, 20000.000000, 40000.000000
55.000000, 268000.000000, 0.000000, 20000.000000, 40000.000000
60.000000, 268000.000000, 0.000000, 20000.000000, 40000.000000
60.000000, 268000.000000, 0.000000, 20000.000000, 40000.000000
65.000000, 268000.000000, 0.000000, 20000.000000, 40000.000000
65.000000, 268000.000000, 0.000000, 20000.000000, 40000.000000
70.000000, 268000.000000, 0.000000, 20000.000000, 40000.000000
70.000000, 268000.000000, 0.000000, 20000.000000, 40000.000000
71.010753, 268000.000000, 0.000000, 20000.000000, 40000.000000
71.046919, 268000.000000, 100.000000, 20100.000000, 40100.000000
71.083085, 268000.000000, 200.000000, 20200.000000, 40200.000000
71.119252, 268000.000000, 300.000000, 20300.000000, 40300.000000
71.155418, 268000.000000, 400.000000, 20400.000000, 40400.000000
71.191585, 268000.000000, 500.000000, 20500.000000, 40500.000000
71.227751, 268000.000000, 600.000000, 20600.000000, 40600.000000
71.263917, 268000.000000, 700.000000, 20700.000000, 40700.000000
71.300084, 268000.000000, 800.000000, 20800.000000, 40800.000000
71.336250, 268000.000000, 900.000000, 20900.000000, 40900.000000
71.372416, 268000.000000, 1000.000000, 21000.000000, 41000.000000
71.408583, 268000.000000, 1100.000000, 21100.000000, 41100.000000
71.444749, 268000.000000, 1200.000000, 21200.000000, 41200.000000
71.480915, 268000.000000, 1300.000000, 21300.000000, 41300.000000
71.517082, 268000.000000, 1400.000000, 21400.000000, 41400.000000
71.553248, 268000.000000, 1500.000000, 21500.000000, 41500.000000
71.589415, 268000.000000, 1600.000000, 21600.000000, 41600.000000
71.625581, 268000.000000, 1700.000000, 21700.000000, 41700.000000
71.661747, 268000.000000, 1800.000000, 21800.000000, 41800.000000
71.697914, 268000.000000, 1900.000000, 21900.000000, 41900.000000
71.734080, 268000.000000, 2000.000000, 22000.000000, 42000.000000
71.770246, 268000.000000, 2100.000000, 22100.000000, 42100.000000
71.806413, 268000.000000, 2200.000000, 22200.000000, 42200.000000
71.842579, 268000.000000, 2300.000000, 22300.000000, 42300.000000
71.878745, 268000.000000, 2400.000000, 22400.000000, 42400.000000
71.914912, 268000.000000, 2500.000000, 22500.000000, 42500.000000
71.951078, 268000.000000, 2600.000000, 22600.000000, 42600.000000
71.987245, 268000.000000, 2700.000000, 22700.000000, 42700.000000
72.023411, 268000.000000, 2800.000000, 22800.000000, 42800.000000
72.059577, 268000.000000, 2900.000000, 22900.000000, 42900.000000
72.095744, 268000.000000, 3000.000000, 23000.000000, 43000.000000
72.131910, 268000.000000, 3100.000000, 23100.000000, 43100.000000
72.168076, 268000.000000, 3200.000000, 23200.000000, 43200.000000
72.204243, 268000.000000, 3300.000000, 23300.000000, 43300.000000
72.240409, 268000.000000, 3400.000000, 23400.000000, 43400.000000
72.276575, 268000.000000, 3500.000000, 23500.000000, 43500.000000
72.312742, 268000.000000, 3600.000000, 23600.000000, 43600.000000
72.348908, 268000.000000, 3700.000000, 23700.000000, 43700.000000
72.385075, 268000.000000, 3800.000000, 23800.000000, 43800.000000
72.421241, 268000.000000, 3900.000000, 23900.000000, 43900.000000
72.457407, 268000.000000, 4000.000000, 24000.000000, 44000.000000
72.493574, 268000.000000, 4100.000000, 24100.000000, 44100.000000
72.529740, 268000.000000, 4200.000000, 24200.000000, 44200.000000
72.565906, 268000.000000, 4300.000000, 24300.000000, 44300.000000
72.602073, 268000.000000, 4400.000000, 24400.000000, 44400.000000
72.638239, 268000.000000, 4500.000000, 24500.000000, 44500.000000
72.674405, 268000.000000, 4600.000000, 24600.000000, 44600.000000
72.710572, 268000.000000, 4700.000000, 24700.000000, 44700.000000
72.746738, 268000.000000, 4800.000000, 24800.000000, 44800.000000
72.782905, 268000.000000, 4900.000000, 24900.000000, 44900.000000
72.819071, 268000.000000, 5000.000000, 25000.000000, 45000.000000
72.855237, 268000.000000, 5100.000000, 25100.000000, 45100.000000
72.891404, 268000.000000, 5200.000000, 25200.000000, 45200.000000
