time, total_mem, dirty, cache, used_mem
0.000000, 268000.000000, 0.000000, 0.000000, 0.000000
215.053763, 268000.000000, 0.000000, 100000.000000, 200000.000000
370.053763, 268000.000000, 0.000000, 100000.000000, 200000.000000
370.086022, 268000.000000, 100.000000, 100100.000000, 200100.000000
370.118280, 268000.000000, 200.000000, 100200.000000, 200200.000000
370.150538, 268000.000000, 300.000000, 100300.000000, 200300.000000
370.182796, 268000.000000, 400.000000, 100400.000000, 200400.000000
370.215054, 268000.000000, 500.000000, 100500.000000, 200500.000000
370.247312, 268000.000000, 600.000000, 100600.000000, 200600.000000
370.279570, 268000.000000, 700.000000, 100700.000000, 200700.000000
370.311828, 268000.000000, 800.000000, 100800.000000, 200800.000000
370.344086, 268000.000000, 900.000000, 100900.000000, 200900.000000
370.376344, 268000.000000, 1000.000000, 101000.000000, 201000.000000
370.408602, 268000.000000, 1100.000000, 101100.000000, 201100.000000
370.440860, 268000.000000, 1200.000000, 101200.000000, 201200.000000
370.473118, 268000.000000, 1300.000000, 101300.000000, 201300.000000
370.505376, 268000.000000, 1400.000000, 101400.000000, 201400.000000
370.537634, 268000.000000, 1500.000000, 101500.000000, 201500.000000
370.569892, 268000.000000, 1600.000000, 101600.000000, 201600.000000
370.602151, 268000.000000, 1700.000000, 101700.000000, 201700.000000
370.634409, 268000.000000, 1800.000000, 101800.000000, 201800.000000
370.666667, 268000.000000, 1900.000000, 101900.000000, 201900.000000
370.698925, 268000.000000, 2000.000000, 102000.000000, 202000.000000
370.731183, 268000.000000, 2100.000000, 102100.000000, 202100.000000
370.763441, 268000.000000, 2200.000000, 102200.000000, 202200.000000
370.795699, 268000.000000, 2300.000000, 102300.000000, 202300.000000
370.827957, 268000.000000, 2400.000000, 102400.000000, 202400.000000
370.860215, 268000.000000, 2500.000000, 102500.000000, 202500.000000
370.892473, 268000.000000, 2600.000000, 102600.000000, 202600.000000
370.924731, 268000.000000, 2700.000000, 102700.000000, 202700.000000
370.956989, 268000.000000, 2800.000000, 102800.000000, 202800.000000
370.989247, 268000.000000, 2900.000000, 102900.000000, 202900.000000
371.021505, 268000.000000, 3000.000000, 103000.000000, 203000.000000
371.053763, 268000.000000, 3100.000000, 103100.000000, 203100.000000
371.086022, 268000.000000, 3200.000000, 103200.000000, 203200.000000
371.118280, 268000.000000, 3300.000000, 103300.000000, 203300.000000
371.150538, 268000.000000, 3400.000000, 103400.000000, 203400.000000
371.182796, 268000.000000, 3500.000000, 103500.000000, 203500.000000
371.215054, 268000.000000, 3600.000000, 103600.000000, 203600.000000
371.247312, 268000.000000, 3700.000000, 103700.000000, 203700.000000
371.279570, 268000.000000, 3800.000000, 103800.000000, 203800.000000
371.311828, 268000.000000, 3900.000000, 103900.000000, 203900.000000
371.344086, 268000.000000, 4000.000000, 104000.000000, 204000.000000
371.376344, 268000.000000, 4100.000000, 104100.000000, 204100.000000
371.408602, 268000.000000, 4200.000000, 104200.000000, 204200.000000
371.440860, 268000.000000, 4300.000000, 104300.000000, 204300.000000
371.473118, 268000.000000, 4400.000000, 104400.000000, 204400.000000
371.505376, 268000.000000, 4500.000000, 104500.000000, 204500.000000
371.537634, 268000.000000, 4600.000000, 104600.000000, 204600.000000
371.569892, 268000.000000, 4700.000000, 104700.000000, 204700.000000
371.602151, 268000.000000, 4800.000000, 104800.000000, 204800.000000
371.634409, 268000.000000, 4900.000000, 104900.000000, 204900.000000
371.666667, 268000.000000, 5000.000000, 105000.000000, 205000.000000
371.698925, 268000.000000, 5100.000000, 105100.000000, 205100.000000
371.731183, 268000.000000, 5200.000000, 105200.000000, 205200.000000
371.763441, 268000.000000, 5300.000000, 105300.000000, 205300.000000
371.795699, 268000.000000, 5400.000000, 105400.000000, 205400.000000
