no_pipeline,makespan,readtime,writetime
1,23.871000051498413,7.704000234603882,3.0169999599456787
6,312.65199995040894,203.45199990272522,22.257999658584595
7,401.82099986076355,274.66999912261963,26.13800048828125
8,503.9069998264313,356.60399985313416,30.95199990272522
9,614.9439997673035,447.9100008010864,37.043999910354614
10,734.9619998931885,535.1720006465912,51.651999711990356
11,986.7080001831055,647.6210014820099,176.0230004787445
12,1364.0110003948212,767.0700008869171,416.93300104141235
13,1890.621999502182,896.9540002346039,799.4069998264313
14,2428.4919998645782,1050.529000043869,1171.3960003852844
15,2863.98300075531,1194.145000219345,1445.9960007667542
16,3447.1380004882812,1364.9700005054474,1839.0719997882843
21,7096.338999032974,2333.835999250412,4439.5849986076355
26,11221.686000585556,3551.3490002155304,7272.435999393463
31,16826.26200079918,5038.879000425339,11296.946999311447
