read_start, read_end, cpu_start, cpu_end, write_start, write_end
507.334633, 531.487667, 531.487667, 535.887667, 535.887667, 715.893928
507.796062, 534.646792, 534.646792, 539.046792, 539.046792, 716.047460
511.152279, 539.251927, 539.251927, 543.651927, 543.651927, 716.177109
511.152279, 540.421217, 540.421217, 544.821217, 544.821217, 716.190785
517.070447, 543.036652, 543.036652, 547.436652, 547.436652, 716.193649
526.680674, 543.555129, 543.555129, 547.955129, 547.955129, 716.194297
526.690200, 559.468422, 559.468422, 563.868422, 563.868422, 716.974898
530.818207, 662.065470, 662.065470, 666.465470, 666.465470, 718.184525
531.844913, 664.477540, 664.477540, 668.877540, 668.877540, 719.931288
531.844913, 666.266583, 666.266583, 670.666583, 670.666583, 724.398968
533.072449, 666.266584, 666.266584, 670.666584, 670.666584, 724.484321
533.579531, 669.172186, 669.172186, 673.572186, 673.572186, 728.696192
533.996997, 678.671420, 678.671420, 683.071420, 683.071420, 728.732971
543.482958, 679.095879, 679.095879, 683.495879, 683.495879, 729.304606
543.891861, 680.079334, 680.079334, 684.479334, 684.479334, 729.609097
544.404092, 680.079334, 680.079334, 684.479334, 684.479334, 729.909250
544.404092, 680.336233, 680.336233, 684.736233, 684.736233, 729.909250
