no_pipeline,makespan,readtime,writetime
1,50.26300001144409,9.14900016784668,28.08199977874756
2,157.58200025558472,33.825000286102295,95.69099998474121
3,338.2290003299713,76.15299987792969,220.3730001449585
4,476.2440001964569,120.81200003623962,297.228000164032
5,791.1949999332428,195.12900018692017,523.3209993839264
6,992.7119998931885,269.949999332428,634.2700006961823
7,1320.075999736786,351.95999908447266,866.9570000171661
8,1958.5699999332428,526.1959998607635,1313.6130001544952
9,2508.4320006370544,660.1989994049072,1713.709000825882
10,2881.5420002937317,767.5890002250671,1961.3510003089905
11,3781.3170006275177,929.8129999637604,2685.575001001358
12,4633.640000104904,1209.9579989910126,3238.3980009555817
13,5994.627999544144,1528.2810008525848,4263.798000335693
14,6858.249999284744,1634.276000738144,5003.432999372482
15,7427.04300069809,1961.8640010356903,5221.2430012226105
16,8311.976999759674,2476.9310007095337,5575.949999094009
17,10667.47300028801,2833.358998298645,7554.701998710632
18,12867.112000465393,2807.170999288559,9761.013999938965
19,11728.837000131607,3322.694000720978,8094.127999782562
20,14129.990999937057,3393.3759999275208,10395.125000953674
21,16547.713000774384,3903.9299986362457,12270.095000505447
22,18488.986999750137,4414.343000173569,13694.719997167587
23,19915.006999015808,4323.49099946022,15180.15899848938
24,20551.404000520706,4886.3809995651245,15236.650001049042
25,21175.72899913788,5642.169997692108,15076.16599869728
26,20202.956000328064,6602.171000957489,13147.600000143051
27,24701.942999601364,7154.092000246048,17093.365999937057
28,27621.864000320435,6908.8880007267,20240.30599951744
29,27463.67799925804,8463.039999485016,18499.608999967575
30,29807.338000535965,6651.778000593185,22643.770001411438
31,33219.08300065994,9527.033999204636,23158.05499958992
32,35332.62299966812,6810.945997953415,27955.35000061989
