no_pipeline,makespan,readtime,writetime
1,26.027999877929688,9.42300009727478,2.92199969291687
2,83.48699998855591,25.991000175476074,30.453999519348145
3,197.25300002098083,58.53000020980835,97.0149998664856
4,336.35900020599365,99.09900045394897,181.91499996185303
5,516.936999797821,143.47099995613098,304.9119997024536
6,743.6150000095367,203.65300011634827,455.82800006866455
7,963.0939996242523,274.5600001811981,589.9489998817444
8,1349.5339994430542,362.8010005950928,871.8449993133545
9,1708.6789996623993,446.7649989128113,1132.5969996452332
10,1939.3069989681244,533.8129985332489,1260.4409999847412
11,2436.0749990940094,642.1689994335175,1634.9480001926422
12,2856.6429998874664,827.7669997215271,1855.2870001792908
13,3520.901000738144,903.5300006866455,2427.943999528885
14,3880.0539996623993,1040.7000002861023,2632.7760002613068
15,4610.895999670029,1197.1580002307892,3194.2820007801056
16,5200.8269991874695,1357.9729988574982,3608.204001426697
17,6018.727000713348,1533.3600006103516,4231.673001766205
18,6607.879000425339,1721.0269997119904,4615.234000444412
19,7548.496000051498,1919.1639995574951,5341.958999633789
20,8295.288999080658,2140.4249968528748,5846.919999361038
21,9030.160000562668,2333.7689995765686,6379.338000059128
22,9757.04299902916,2564.0129985809326,6859.78400015831
23,10749.95500087738,2795.6050012111664,7609.859999656677
24,11670.411999464035,3064.2179980278015,8237.140999794006
25,12922.32699918747,3317.4669983386993,9220.28900051117
26,13971.479000329971,3600.879999399185,9962.419999361038
27,14747.39499950409,3826.0379986763,10512.099999427795
28,16029.368998527527,4154.795998811722,11439.945000886917
29,17264.74899983406,4428.567000389099,12396.59600019455
30,16359.052000045776,4704.769999027252,11201.972000837326
31,20382.649002075195,5314.156001806259,14532.912998199463
32,22571.523002147675,5678.660002231598,16305.939999818802
