no_pipeline,makespan,readtime,writetime
1,58.29200005531311,9.239000082015991,35.96199989318848
2,150.2440001964569,28.83500027656555,94.65000009536743
3,298.28000044822693,59.04200029373169,197.26500034332275
4,415.842000246048,93.7739999294281,266.55999994277954
5,655.5130000114441,142.8279993534088,443.3300006389618
6,854.791999578476,203.5049991607666,566.5140001773834
7,1226.802000284195,275.0409998893738,850.6049997806549
8,1537.7679991722107,357.331999540329,1064.9110000133514
9,1879.2330005168915,445.9620006084442,1302.194000005722
10,2331.8170008659363,536.573000907898,1649.4439992904663
11,2787.9130001068115,649.8800013065338,1975.8100001811981
12,3240.489999294281,771.9090003967285,2292.3319985866547
13,3737.717000246048,897.8100006580353,2646.50400018692
14,4381.340000867844,1043.139999628067,3132.3300018310547
15,5065.859000444412,1196.6570007801056,3647.1980011463165
16,5730.838999509811,1354.1779992580414,4139.097999572754
17,6478.280000448227,1543.906001329422,4674.693999528885
18,7233.433000087738,1723.6539998054504,5233.1949989795685
19,8232.586999416351,1913.565999031067,6030.914000034332
20,9060.780999660492,2131.947999715805,6617.3479998111725
21,9971.087000846863,2347.692001104355,7303.021001338959
22,11060.658999919891,2558.0020003318787,8174.569000244141
23,11544.6410009861,2822.994000673294,8375.025999307632
24,12583.990998983383,3057.167998790741,9157.887000083923
25,13888.024999856949,3310.118999004364,10198.295000076294
26,14806.292999982834,3571.212000846863,10840.255999088287
27,15811.620999336243,3857.3879997730255,11542.376999616623
28,16843.64299941063,4115.649999141693,12300.622002124786
29,17720.64300084114,4440.528000593185,12831.946001768112
30,19036.920998573303,4749.1989986896515,13814.881999492645
31,17182.164999723434,5090.872999429703,11613.210000038147
32,22919.98700070381,5718.642999887466,16672.075001478195
