no_pipeline,makespan,readtime,writetime
1,22.768819885709128,7.698495696245001,1.8703241894641298
2,64.67527954281258,30.793982784981296,7.481296757831288
3,125.71937897133452,69.28646126618935,16.83291770514519
4,205.9011181712455,123.17593113989915,29.925187031346383
5,305.2204971425602,192.46239240610322,46.75810473645715
6,423.67751588529876,277.1458450647614,67.33167082053723
7,561.2721765218205,377.2262911874598,91.6458853343606
8,751.2938237360161,492.70372455963127,152.99009917638475
9,1082.2665898622647,623.5781479662857,339.8884418959792
10,1378.104123820925,769.8495696243799,476.2545541965443
11,1874.908918504961,931.5179843732324,798.1909341317279
12,2261.46351226027,1090.1072843542931,1012.9562279059774
13,2666.5706783668843,1272.322411892996,1222.6482664738885
14,3258.0114001503725,1464.781209299931,1608.4301908504428
15,3850.7206378902906,1710.4645506637771,1942.256087226513
16,4504.517560791851,1940.2210216043738,2353.0965391874765
17,5142.894385795992,2199.791245506216,2718.7031402897746
18,6007.9099900490655,2419.301423419665,3351.0085666294026
19,6844.204891846714,2741.1254424603467,3852.2794493863676
20,7824.7284700921955,2994.8630084479505,4565.865461644246
21,8870.051723903447,3224.6216581708286,5368.230065732623
22,9502.015974224749,3419.8777747473882,5791.7381994773605
23,10344.817617816521,3990.4627481302205,6050.754869686297
24,11567.056287511612,4301.307171499166,6948.949116012441
25,12364.713652208427,4569.439529720073,7465.274122488355
26,13638.409436880736,5005.431881107181,8289.777555773555
27,14926.343415062262,5379.942925242195,9190.000489820071
28,16150.298072707417,5842.338162003876,9938.359910703532
29,17466.38272539615,6280.398395252309,10803.184330143835
30,18529.234331498566,6979.028023477164,11154.206308021416
31,20049.657902824754,7783.658263570573,11856.799639254188
32,22330.085034016818,9053.787903169596,12853.897130847216
