no_pipeline,run_time
1,0.021000
2,0.031000
3,0.049000
4,0.072000
5,0.089000
6,0.098000
7,0.130000
8,0.166000
9,0.198000
10,0.265000
11,0.229000
12,0.256000
13,0.318000
14,0.336000
15,0.390000
16,0.434000
17,0.482000
18,0.540000
19,0.534000
20,0.562000
21,0.574000
22,0.605000
23,0.710000
24,0.718000
25,0.762000
26,0.794000
27,0.908000
28,0.931000
29,1.014000
30,1.051000
31,1.098000
32,1.266000
