time, total_mem, dirty, cache, used_mem
0.000000, 268000.000000, 0.000000, 0.000000, 0.000000
0.000000, 268000.000000, 0.000000, 0.000000, 0.000000
0.000000, 268000.000000, 0.000000, 0.000000, 0.000000
0.000000, 268000.000000, 0.000000, 0.000000, 0.000000
5.000000, 268000.000000, 0.000000, 2350.000000, 4650.000000
5.000000, 268000.000000, 0.000000, 2350.000000, 4650.000000
10.000000, 268000.000000, 0.000000, 4650.000000, 9250.000000
10.000000, 268000.000000, 0.000000, 4650.000000, 9250.000000
15.000000, 268000.000000, 0.000000, 7000.000000, 13950.000000
15.000000, 268000.000000, 0.000000, 7000.000000, 13950.000000
20.000000, 268000.000000, 0.000000, 9300.000000, 18550.000000
20.000000, 268000.000000, 0.000000, 9300.000000, 18550.000000
25.000000, 268000.000000, 0.000000, 11650.000000, 23250.000000
25.000000, 268000.000000, 0.000000, 11650.000000, 23250.000000
30.000000, 268000.000000, 0.000000, 13950.000000, 27850.000000
30.000000, 268000.000000, 0.000000, 13950.000000, 27850.000000
35.000000, 268000.000000, 0.000000, 16300.000000, 32550.000000
35.000000, 268000.000000, 0.000000, 16300.000000, 32550.000000
40.000000, 268000.000000, 0.000000, 18600.000000, 37150.000000
40.000000, 268000.000000, 0.000000, 18600.000000, 37150.000000
43.010753, 268000.000000, 0.000000, 20000.000000, 40000.000000
45.000000, 268000.000000, 0.000000, 20000.000000, 40000.000000
45.000000, 268000.000000, 0.000000, 20000.000000, 40000.000000
50.000000, 268000.000000, 0.000000, 20000.000000, 40000.000000
50.000000, 268000.000000, 0.000000, 20000.000000, 40000.000000
55.000000, 268000.000000, 0.000000, 20000.000000, 40000.000000
55.000000, 268000.000000, 0.000000, 20000.000000, 40000.000000
60.000000, 268000.000000, 0.000000, 20000.000000, 40000.000000
60.000000, 268000.000000, 0.000000, 20000.000000, 40000.000000
65.000000, 268000.000000, 0.000000, 20000.000000, 40000.000000
65.000000, 268000.000000, 0.000000, 20000.000000, 40000.000000
70.000000, 268000.000000, 0.000000, 20000.000000, 40000.000000
70.000000, 268000.000000, 0.000000, 20000.000000, 40000.000000
74.121864, 268000.000000, 0.000000, 20000.000000, 40000.000000
74.137993, 268000.000000, 50.000000, 20050.000000, 40050.000000
74.154122, 268000.000000, 100.000000, 20100.000000, 40100.000000
74.170251, 268000.000000, 150.000000, 20150.000000, 40150.000000
74.186380, 268000.000000, 200.000000, 20200.000000, 40200.000000
74.202509, 268000.000000, 250.000000, 20250.000000, 40250.000000
74.218638, 268000.000000, 300.000000, 20300.000000, 40300.000000
74.234767, 268000.000000, 350.000000, 20350.000000, 40350.000000
74.250896, 268000.000000, 400.000000, 20400.000000, 40400.000000
74.267025, 268000.000000, 450.000000, 20450.000000, 40450.000000
74.283154, 268000.000000, 500.000000, 20500.000000, 40500.000000
74.299283, 268000.000000, 550.000000, 20550.000000, 40550.000000
74.315412, 268000.000000, 600.000000, 20600.000000, 40600.000000
74.331541, 268000.000000, 650.000000, 20650.000000, 40650.000000
74.347670, 268000.000000, 700.000000, 20700.000000, 40700.000000
74.363799, 268000.000000, 750.000000, 20750.000000, 40750.000000
74.379928, 268000.000000, 800.000000, 20800.000000, 40800.000000
74.396057, 268000.000000, 850.000000, 20850.000000, 40850.000000
74.412186, 268000.000000, 900.000000, 20900.000000, 40900.000000
74.428315, 268000.000000, 950.000000, 20950.000000, 40950.000000
74.444444, 268000.000000, 1000.000000, 21000.000000, 41000.000000
74.460573, 268000.000000, 1050.000000, 21050.000000, 41050.000000
74.476703, 268000.000000, 1100.000000, 21100.000000, 41100.000000
74.492832, 268000.000000, 1150.000000, 21150.000000, 41150.000000
74.508961, 268000.000000, 1200.000000, 21200.000000, 41200.000000
74.525090, 268000.000000, 1250.000000, 21250.000000, 41250.000000
74.541219, 268000.000000, 1300.000000, 21300.000000, 41300.000000
74.557348, 268000.000000, 1350.000000, 21350.000000, 41350.000000
74.573477, 268000.000000, 1400.000000, 21400.000000, 41400.000000
74.589606, 268000.000000, 1450.000000, 21450.000000, 41450.000000
74.605735, 268000.000000, 1500.000000, 21500.000000, 41500.000000
74.621864, 268000.000000, 1550.000000, 21550.000000, 41550.000000
74.637993, 268000.000000, 1600.000000, 21600.000000, 41600.000000
74.654122, 268000.000000, 1650.000000, 21650.000000, 41650.000000
74.670251, 268000.000000, 1700.000000, 21700.000000, 41700.000000
74.686380, 268000.000000, 1750.000000, 21750.000000, 41750.000000
74.702509, 268000.000000, 1800.000000, 21800.000000, 41800.000000
74.718638, 268000.000000, 1850.000000, 21850.000000, 41850.000000
74.734767, 268000.000000, 1900.000000, 21900.000000, 41900.000000
74.750896, 268000.000000, 1950.000000, 21950.000000, 41950.000000
74.767025, 268000.000000, 2000.000000, 22000.000000, 42000.000000
74.783154, 268000.000000, 2050.000000, 22050.000000, 42050.000000
74.799283, 268000.000000, 2100.000000, 22100.000000, 42100.000000
74.815412, 268000.000000, 2150.000000, 22150.000000, 42150.000000
74.831541, 268000.000000, 2200.000000, 22200.000000, 42200.000000
74.847670, 268000.000000, 2250.000000, 22250.000000, 42250.000000
74.863799, 268000.000000, 2300.000000, 22300.000000, 42300.000000
74.879928, 268000.000000, 2350.000000, 22350.000000, 42350.000000
74.896057, 268000.000000, 2400.000000, 22400.000000, 42400.000000
74.912186, 268000.000000, 2450.000000, 22450.000000, 42450.000000
74.928315, 268000.000000, 2500.000000, 22500.000000, 42500.000000
74.944444, 268000.000000, 2550.000000, 22550.000000, 42550.000000
74.960573, 268000.000000, 2600.000000, 22600.000000, 42600.000000
