no_pipeline,makespan,readtime,writetime
1,24.30400013923645,7.856000185012817,2.9700000286102295
6,313.6069996356964,203.54199981689453,22.58399987220764
7,403.1229999065399,275.00100016593933,26.204999923706055
8,505.7000000476837,357.1440007686615,30.898999452590942
9,617.6819999217987,447.4930000305176,38.399999380111694
10,743.7370002269745,538.4519999027252,56.89900040626526
11,956.0639998912811,646.4730007648468,144.49200010299683
12,1397.3729996681213,770.9839992523193,446.8039984703064
13,1918.177000284195,904.1490006446838,818.408998966217
14,2395.378000497818,1047.0620007514954,1139.5030000209808
15,2845.365000486374,1198.273999929428,1424.5860006809235
16,3624.598000049591,1367.1429998874664,2013.4279997348785
21,7697.632000684738,2340.5060000419617,5023.519000291824
26,11803.268000602722,3578.654000043869,7814.637001276016
31,15787.65800023079,5000.068001270294,10295.746000766754
