no_pipeline,makespan,readtime,writetime
1,23.585999965667725,7.655000448226929,2.862999677658081
6,311.3679995536804,203.35399961471558,22.165000200271606
7,401.03700065612793,274.4059998989105,25.94200038909912
8,513.5989999771118,357.2860007286072,38.94800019264221
9,621.191999912262,447.8529996871948,38.957000494003296
10,738.3569996356964,537.3869998455048,52.862998962402344
11,979.7300002574921,647.7990009784698,168.9919991493225
12,1342.427000284195,769.0059993267059,392.59199953079224
13,1921.9959993362427,902.4380004405975,824.7619998455048
14,2386.1009998321533,1038.778998374939,1137.9570000171661
15,2892.984999895096,1191.9990000724792,1476.3660008907318
16,3396.956000328064,1366.192999124527,1790.4350004196167
21,7054.256999492645,2347.478000164032,4381.423999071121
26,11714.086000680923,3578.3100020885468,7732.675000190735
31,17708.005999565125,5028.073999404907,12191.465000629425
