no_pipeline,makespan,readtime,writetime
1,53.1489999294281,9.139000177383423,30.948999881744385
2,171.15899991989136,30.872999668121338,111.81700038909912
3,340.00300002098083,67.95199966430664,229.4300000667572
4,561.260999917984,120.3829996585846,382.90899991989136
5,886.2070000171661,177.42700004577637,635.4989998340607
6,1405.6050000190735,255.2630000114441,1060.289999961853
7,1857.3059995174408,352.99399995803833,1401.8569996356964
8,2710.7690000534058,521.3599996566772,2066.966999769211
9,3262.3470001220703,716.8659987449646,2409.5049998760223
10,3882.7249999046326,866.5189998149872,2864.119999885559
11,4458.269000053406,1073.1840000152588,3216.3540000915527
12,6013.695999622345,1296.1589987277985,4522.877999782562
13,6793.913999795914,1733.5169994831085,4856.607000112534
14,7113.218000173569,1907.9280002117157,4987.838000297546
15,8878.546999931335,2122.5529985427856,6528.063999891281
16,10802.068001031876,2462.383001089096,8084.498001098633
17,11789.568000793457,3464.9779999256134,8047.068001031876
18,14513.019999742508,2796.2620022296906,11419.096999883652
19,14117.72800064087,3091.9020009040833,10707.301000118256
20,15756.552999734879,3906.0479991436005,11524.302999734879
21,19195.356999635696,3693.876999616623,15142.706999063492
22,20239.310000181198,4062.859001159668,15783.378000736237
23,20834.572999715805,3838.7890005111694,16606.759999513626
24,23320.703000068665,4577.943998813629,18308.060000181198
25,22239.147000312805,4779.400998830795,17029.92600107193
26,25797.104999542236,6018.789000749588,19324.72399997711
27,24999.65900039673,8301.582998991013,16248.791000366211
28,27476.735000371933,5937.875999689102,21052.48400092125
29,26152.693999528885,6200.544999599457,19429.328999757767
30,30008.083999872208,8188.161999940872,21306.70000052452
31,33549.61800074577,9308.115001440048,23716.302001953125
32,33099.62999987602,8220.564999580383,24316.61999988556
