type,start,end
read,0,161.29032258064302
write,271.290322580643,331.4032258064395
read,331.4032258064395,341.96660608816325
write,451.96660608816325,519.7569286688009
read,519.7569286688009,530.3203089505247
write,640.3203089505247,665.1536422838362
